"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk",579650,64.98,8920.43705755617," Odświeżono dnia 29 kwietnia 2025","Gotowe do odbioru 4 pokoje + Parking_Dni otwarte","https://www.otodom.pl/pl/oferta/gotowe-do-odbioru-4-pokoje-parking-dni-otwarte-ID4v4Ay.html"
"Gdańsk",550000,61.5,8943.08943089431," Dzisiaj o 10:35","Przestronne mieszkanie na Kowalach!","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-kowalach-ID4v1N3.html"
"Gdańsk",569000,63.5,8960.629921259842," 13 marca 2025","Przytulne mieszkanie z potencjałem inwestycyjnym","https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-z-potencjalem-inwestycyjnym-ID4woxq.html"
"Gdańsk, Jasień",699000,78.0,8961.538461538461," 23 kwietnia 2025","Bez pozwolenia | 3 pokoje z opcją 5 | Przestronne","https://www.otodom.pl/pl/oferta/bez-pozwolenia-3-pokoje-z-opcja-5-przestronne-ID4v2WK.html"
"Gdańsk, Śródmieście",1299000,144.5,8989.61937716263," 18 kwietnia 2025","Przystań Śródmieście - Mieszkania przy Motławie","https://www.otodom.pl/pl/oferta/przystan-srodmiescie-mieszkania-przy-motlawie-ID4wMfP.html"
"Gdańsk, Jasień",560001,62.18,9006.127372145384," 25 kwietnia 2025","Villa Park Gdańsk | mieszkanie 3-pok. | M.2.1","https://www.otodom.pl/pl/oferta/villa-park-gdansk-mieszkanie-3-pok-m-2-1-ID4v6V7.html"
"Gdańsk, Wrzeszcz",888000,96.0,9250.0," Dzisiaj o 11:11","Klimatyczne mieszkanie w sercu Dolnego Wrzeszcza!","https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-sercu-dolnego-wrzeszcza-ID4vceY.html"
"Gdańsk, Orunia",469000,50.6,9268.774703557312," Św. Wojciech - Lipce - 12 kwietnia 2025","2 pokoje |Ogród | Parter |","https://www.otodom.pl/pl/oferta/2-pokoje-ogrod-parter-ID4wMRW.html"
"Gdańsk, Osowa",790000,85.0,9294.117647058823," 22 kwietnia 2025","Dwupoziomowe Mieszkania+ Hala I Piwnica","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkania-hala-i-piwnica-ID4wgZy.html"
"Gdańsk",552700,59.1,9351.945854483925," Odświeżono Dzisiaj o 05:45","Widna Kuchnia_ obok  Lasu + Garaż + kom.lok","https://www.otodom.pl/pl/oferta/widna-kuchnia-obok-lasu-garaz-kom-lok-ID4v5t7.html"
